Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,294,65,132,0.49242424242424243,7,37,0.1891891891891892,58,95,0.6105263157894737,41,50,0.82,16,30,46,31,17,3,24,36,178
#3 Nani Falatea,104,8,20,0.4,7,13,0.5384615384615384,1,7,0.14285714285714285,2,2,1,1,15,16,5,6,1,9,4,25
#4 Arielle MackeyWilliams,43,2,13,0.15384615384615385,0,6,0,2,7,0.2857142857142857,2,2,1,2,2,4,6,1,0,6,4,6
#5 Maria Albiero,267,17,43,0.3953488372093023,5,12,0.4166666666666667,12,31,0.3870967741935484,3,4,0.75,2,25,27,39,12,0,15,3,42
#10 Tegan Graham,279,36,81,0.4444444444444444,28,62,0.45161290322580644,8,19,0.42105263157894735,6,8,0.75,6,21,27,44,17,9,20,5,106
#11 Kaylee Smiler,51,4,9,0.4444444444444444,4,7,0.5714285714285714,0,2,0,0,0,0,2,4,6,4,0,0,1,2,12
#12 Lauren Gustin,241,38,74,0.5135135135135135,0,0,0,38,74,0.5135135135135135,12,20,0.6,33,63,96,12,11,2,5,13,88
#13 Paisley Harding,288,52,121,0.4297520661157025,19,53,0.3584905660377358,33,68,0.4852941176470588,22,28,0.7857142857142857,6,20,26,23,13,2,24,17,145
#20 Devry Millett,11,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,129,18,25,0.72,0,0,0,18,25,0.72,3,4,0.75,6,21,27,1,5,25,14,9,39
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,77,14,29,0.4827586206896552,4,11,0.36363636363636365,10,18,0.5555555555555556,4,5,0.8,7,10,17,3,0,9,10,6,36
#30 Kate Vorwaller,15,2,4,0.5,1,1,1,1,3,0.3333333333333333,1,2,0.5,2,4,6,3,1,0,1,1,6
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
