Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,750,174,336,0.5178571428571429,18,80,0.225,156,256,0.609375,87,106,0.8207547169811321,44,88,132,107,57,7,59,44,453
#3 Nani Falatea,273,29,62,0.46774193548387094,19,38,0.5,10,24,0.4166666666666667,4,6,0.6666666666666666,3,34,37,24,18,3,18,30,81
#4 Arielle MackeyWilliams,127,12,41,0.2926829268292683,4,19,0.21052631578947367,8,22,0.36363636363636365,8,8,1,6,10,16,14,4,0,14,11,36
#5 Maria Albiero,651,46,118,0.3898305084745763,14,48,0.2916666666666667,32,70,0.45714285714285713,5,7,0.7142857142857143,7,46,53,91,31,1,29,38,111
#10 Tegan Graham,690,87,197,0.4416243654822335,59,144,0.4097222222222222,28,53,0.5283018867924528,16,20,0.8,14,53,67,112,35,16,44,46,249
#11 Kaylee Smiler,209,12,35,0.34285714285714286,7,24,0.2916666666666667,5,11,0.45454545454545453,2,4,0.5,4,19,23,16,6,2,6,16,33
#12 Lauren Gustin,659,116,220,0.5272727272727272,0,0,0,116,220,0.5272727272727272,25,50,0.5,107,165,272,25,31,6,29,50,257
#13 Paisley Harding,724,147,319,0.4608150470219436,41,120,0.3416666666666667,106,199,0.5326633165829145,71,87,0.8160919540229885,22,51,73,61,38,3,48,54,406
#20 Devry Millett,48,5,11,0.45454545454545453,1,4,0.25,4,7,0.5714285714285714,1,2,0.5,2,8,10,1,2,3,2,3,12
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,349,50,73,0.684931506849315,0,2,0,50,71,0.704225352112676,10,17,0.5882352941176471,24,55,79,11,12,61,25,55,110
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,184,34,71,0.4788732394366197,6,26,0.23076923076923078,28,45,0.6222222222222222,8,11,0.7272727272727273,17,29,46,11,3,16,20,31,82
#30 Kate Vorwaller,58,6,19,0.3157894736842105,1,5,0.2,5,14,0.35714285714285715,3,6,0.5,4,6,10,8,3,0,2,2,16
