Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,66,16,28,0.5714285714285714,0,4,0,16,24,0.6666666666666666,8,11,0.7272727272727273,7,6,13,6,3,0,6,3,40
#3 Nani Falatea,25,4,4,1,2,2,1,2,2,1,0,0,0,0,2,2,4,0,1,1,3,10
#4 Arielle MackeyWilliams,6,1,2,0.5,0,0,0,1,2,0.5,0,0,0,0,0,0,1,1,0,0,1,2
#5 Maria Albiero,49,5,11,0.45454545454545453,2,5,0.4,3,6,0.5,0,0,0,1,0,1,7,0,0,0,2,12
#10 Tegan Graham,53,4,13,0.3076923076923077,3,9,0.3333333333333333,1,4,0.25,0,0,0,1,4,5,7,4,1,2,6,11
#11 Kaylee Smiler,22,0,3,0,0,2,0,0,1,0,0,0,0,1,2,3,4,1,0,1,2,0
#12 Lauren Gustin,65,5,17,0.29411764705882354,0,0,0,5,17,0.29411764705882354,2,5,0.4,10,15,25,2,4,1,3,5,12
#13 Paisley Harding,66,12,28,0.42857142857142855,3,10,0.3,9,18,0.5,7,9,0.7777777777777778,3,3,6,10,5,0,3,4,34
#20 Devry Millett,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,30,4,8,0.5,0,0,0,4,8,0.5,3,4,0.75,5,1,6,2,2,4,3,5,11
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,8,3,6,0.5,0,2,0,3,4,0.75,0,0,0,0,2,2,0,0,1,0,1,6
#30 Kate Vorwaller,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
