Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,325,70,145,0.4827586206896552,7,39,0.1794871794871795,63,106,0.5943396226415094,44,53,0.8301886792452831,17,35,52,34,18,5,26,22,191
#3 Nani Falatea,110,8,20,0.4,7,13,0.5384615384615384,1,7,0.14285714285714285,4,4,1,1,15,16,6,6,1,9,12,27
#4 Arielle MackeyWilliams,44,2,13,0.15384615384615385,0,6,0,2,7,0.2857142857142857,2,2,1,2,2,4,6,1,0,6,5,6
#5 Maria Albiero,305,18,48,0.375,5,12,0.4166666666666667,13,36,0.3611111111111111,3,4,0.75,3,29,32,45,13,0,15,17,44
#10 Tegan Graham,317,42,94,0.44680851063829785,31,71,0.43661971830985913,11,23,0.4782608695652174,6,8,0.75,7,24,31,49,18,11,22,19,121
#11 Kaylee Smiler,64,5,11,0.45454545454545453,4,8,0.5,1,3,0.3333333333333333,0,0,0,2,6,8,4,1,0,1,8,14
#12 Lauren Gustin,270,41,83,0.4939759036144578,0,0,0,41,83,0.4939759036144578,13,24,0.5416666666666666,37,72,109,12,12,3,9,24,95
#13 Paisley Harding,317,59,135,0.43703703703703706,21,58,0.3620689655172414,38,77,0.4935064935064935,26,32,0.8125,8,23,31,25,13,2,26,29,165
#20 Devry Millett,11,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,142,23,31,0.7419354838709677,0,0,0,23,31,0.7419354838709677,3,4,0.75,7,23,30,1,7,27,17,26,49
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,78,14,29,0.4827586206896552,4,11,0.36363636363636365,10,18,0.5555555555555556,4,5,0.8,7,11,18,4,0,9,10,17,36
#30 Kate Vorwaller,15,2,4,0.5,1,1,1,1,3,0.3333333333333333,1,2,0.5,2,4,6,3,1,0,1,0,6
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
