Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,492,113,225,0.5022222222222222,12,57,0.21052631578947367,101,168,0.6011904761904762,66,81,0.8148148148148148,29,61,90,60,32,7,42,31,304
#3 Nani Falatea,191,18,45,0.4,12,27,0.4444444444444444,6,18,0.3333333333333333,4,6,0.6666666666666666,2,26,28,15,12,1,13,19,52
#4 Arielle MackeyWilliams,94,8,31,0.25806451612903225,2,15,0.13333333333333333,6,16,0.375,2,2,1,3,7,10,12,3,0,9,7,20
#5 Maria Albiero,450,30,74,0.40540540540540543,9,24,0.375,21,50,0.42,5,7,0.7142857142857143,4,39,43,65,20,0,25,27,74
#10 Tegan Graham,477,58,136,0.4264705882352941,44,105,0.41904761904761906,14,31,0.45161290322580644,9,12,0.75,10,39,49,81,25,14,36,29,169
#11 Kaylee Smiler,120,8,20,0.4,6,14,0.42857142857142855,2,6,0.3333333333333333,2,2,1,2,11,13,6,2,0,3,10,24
#12 Lauren Gustin,417,77,140,0.55,0,0,0,77,140,0.55,19,37,0.5135135135135135,70,113,183,18,19,4,15,32,173
#13 Paisley Harding,474,94,215,0.4372093023255814,27,84,0.32142857142857145,67,131,0.5114503816793893,41,52,0.7884615384615384,18,32,50,41,24,2,32,40,256
#20 Devry Millett,37,3,7,0.42857142857142855,0,3,0,3,4,0.75,1,2,0.5,1,6,7,1,1,3,1,2,7
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,228,37,50,0.74,0,1,0,37,49,0.7551020408163265,4,8,0.5,14,41,55,5,8,39,17,34,78
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,133,25,51,0.49019607843137253,6,18,0.3333333333333333,19,33,0.5757575757575758,5,7,0.7142857142857143,14,18,32,7,3,10,17,23,61
#30 Kate Vorwaller,42,5,14,0.35714285714285715,1,3,0.3333333333333333,4,11,0.36363636363636365,2,4,0.5,4,4,8,3,3,0,2,2,13
