Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,351,79,162,0.4876543209876543,8,41,0.1951219512195122,71,121,0.5867768595041323,46,56,0.8214285714285714,19,38,57,39,22,5,26,23,212
#3 Nani Falatea,122,9,24,0.375,7,16,0.4375,2,8,0.25,4,4,1,1,19,20,8,6,1,11,12,29
#4 Arielle MackeyWilliams,51,6,18,0.3333333333333333,1,7,0.14285714285714285,5,11,0.45454545454545453,2,2,1,2,2,4,7,2,0,7,6,15
#5 Maria Albiero,327,21,51,0.4117647058823529,6,13,0.46153846153846156,15,38,0.39473684210526316,3,4,0.75,3,29,32,47,13,0,18,18,51
#10 Tegan Graham,340,45,100,0.45,33,76,0.4342105263157895,12,24,0.5,8,10,0.8,7,25,32,53,19,11,22,21,131
#11 Kaylee Smiler,81,6,15,0.4,5,11,0.45454545454545453,1,4,0.25,2,2,1,2,6,8,5,1,0,1,8,19
#12 Lauren Gustin,294,48,94,0.5106382978723404,0,0,0,48,94,0.5106382978723404,14,26,0.5384615384615384,43,84,127,14,13,3,9,25,110
#13 Paisley Harding,342,61,146,0.4178082191780822,22,65,0.3384615384615385,39,81,0.48148148148148145,28,34,0.8235294117647058,10,24,34,28,15,2,27,29,172
#20 Devry Millett,15,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,155,25,33,0.7575757575757576,0,0,0,25,33,0.7575757575757576,3,4,0.75,10,25,35,3,7,29,17,29,53
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,92,17,35,0.4857142857142857,5,12,0.4166666666666667,12,23,0.5217391304347826,5,7,0.7142857142857143,8,13,21,5,1,10,11,19,44
#30 Kate Vorwaller,21,2,4,0.5,1,1,1,1,3,0.3333333333333333,1,2,0.5,3,4,7,3,1,0,2,0,6
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
