Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,94,21,39,0.5384615384615384,3,10,0.3,18,29,0.6206896551724138,23,24,0.9583333333333334,7,10,17,8,9,1,8,16,68
#3 Nani Falatea,45,2,7,0.2857142857142857,2,5,0.4,0,2,0,2,2,1,0,7,7,2,5,0,4,3,8
#4 Arielle MackeyWilliams,16,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,4,2,0
#5 Maria Albiero,93,6,14,0.42857142857142855,3,5,0.6,3,9,0.3333333333333333,0,0,0,0,6,6,12,4,0,5,0,15
#10 Tegan Graham,94,11,26,0.4230769230769231,6,21,0.2857142857142857,5,5,1,2,2,1,3,6,9,14,7,5,12,2,30
#11 Kaylee Smiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#12 Lauren Gustin,81,13,22,0.5909090909090909,0,0,0,13,22,0.5909090909090909,5,9,0.5555555555555556,6,15,21,4,5,1,1,6,31
#13 Paisley Johnson,94,12,32,0.375,4,13,0.3076923076923077,8,19,0.42105263157894735,7,8,0.875,3,5,8,6,5,2,8,7,35
#20 Devry Millett,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,33,3,4,0.75,0,0,0,3,4,0.75,0,1,0,2,5,7,1,1,6,4,3,6
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,34,7,12,0.5833333333333334,4,7,0.5714285714285714,3,5,0.6,1,2,0.5,3,4,7,1,0,4,5,3,19
#30 Kate Vorwaller,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
