Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,31,5,13,0.38461538461538464,0,2,0,5,11,0.45454545454545453,3,3,1,1,5,6,3,1,2,2,2,13
#3 Nani Falatea,6,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,2
#4 Arielle MackeyWilliams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5 Maria Albiero,38,1,5,0.2,0,0,0,1,5,0.2,0,0,0,1,4,5,6,1,0,0,3,2
#10 Tegan Graham,38,6,13,0.46153846153846156,3,9,0.3333333333333333,3,4,0.75,0,0,0,1,3,4,5,1,2,2,1,15
#11 Kaylee Smiler,13,1,2,0.5,0,1,0,1,1,1,0,0,0,0,2,2,0,1,0,0,3,2
#12 Lauren Gustin,29,3,9,0.3333333333333333,0,0,0,3,9,0.3333333333333333,1,4,0.25,4,9,13,0,1,1,4,5,7
#13 Paisley Harding,29,7,14,0.5,2,5,0.4,5,9,0.5555555555555556,4,4,1,2,3,5,2,0,0,2,4,20
#20 Devry Millett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,13,5,6,0.8333333333333334,0,0,0,5,6,0.8333333333333334,0,0,0,1,2,3,0,2,2,3,2,10
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
#30 Kate Vorwaller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
