Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,54,11,25,0.44,1,8,0.125,10,17,0.5882352941176471,8,9,0.8888888888888888,2,10,12,10,5,1,7,4,31
#3 Nani Falatea,29,5,13,0.38461538461538464,2,6,0.3333333333333333,3,7,0.42857142857142855,0,0,0,1,3,4,5,4,0,0,4,12
#4 Arielle MackeyWilliams,16,2,6,0.3333333333333333,1,3,0.3333333333333333,1,3,0.3333333333333333,0,0,0,0,4,4,0,0,0,1,1,5
#5 Maria Albiero,42,5,9,0.5555555555555556,3,6,0.5,2,3,0.6666666666666666,0,0,0,0,2,2,9,0,0,3,5,13
#10 Tegan Graham,54,7,19,0.3684210526315789,6,15,0.4,1,4,0.25,0,0,0,1,6,7,11,0,2,4,2,20
#11 Kaylee Smiler,35,2,5,0.4,1,3,0.3333333333333333,1,2,0.5,0,0,0,0,5,5,1,1,0,1,2,5
#12 Lauren Gustin,50,13,21,0.6190476190476191,0,0,0,13,21,0.6190476190476191,2,4,0.5,15,12,27,2,4,0,0,2,28
#13 Paisley Harding,47,13,26,0.5,3,7,0.42857142857142855,10,19,0.5263157894736842,4,4,1,3,2,5,5,6,0,2,5,33
#20 Devry Millett,13,3,3,1,0,0,0,3,3,1,1,2,0.5,1,5,6,0,0,3,0,1,7
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,23,1,4,0.25,0,1,0,1,3,0.3333333333333333,1,4,0.25,1,3,4,0,0,1,0,3,3
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,15,3,6,0.5,1,3,0.3333333333333333,2,3,0.6666666666666666,0,0,0,4,1,5,0,0,0,3,4,7
#30 Kate Vorwaller,5,0,5,0,0,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,2,0
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
