Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,56,10,22,0.45454545454545453,1,4,0.25,9,18,0.5,6,8,0.75,2,7,9,4,3,0,6,7,27
#3 Nani Falatea,26,5,6,0.8333333333333334,4,4,1,1,2,0.5,0,0,0,0,1,1,2,1,1,3,0,14
#4 Arielle MackeyWilliams,16,1,2,0.5,0,0,0,1,2,0.5,2,2,1,1,2,3,4,0,0,1,1,4
#5 Maria Albiero,43,1,4,0.25,0,0,0,1,4,0.25,3,4,0.75,0,5,5,8,3,0,5,1,5
#10 Tegan Graham,60,4,10,0.4,3,6,0.5,1,4,0.25,2,2,1,1,1,2,5,2,3,5,1,13
#11 Kaylee Smiler,16,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0
#12 Lauren Gustin,64,7,17,0.4117647058823529,0,0,0,7,17,0.4117647058823529,1,2,0.5,7,21,28,2,1,1,0,2,15
#13 Paisley Johnson,60,12,25,0.48,3,10,0.3,9,15,0.6,10,12,0.8333333333333334,1,7,8,2,4,0,5,7,37
#20 Devry Millett,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,26,2,3,0.6666666666666666,0,0,0,2,3,0.6666666666666666,3,3,1,0,3,3,0,1,4,2,3,7
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,12,3,5,0.6,0,2,0,3,3,1,3,3,1,0,1,1,0,0,2,1,2,9
#30 Kate Vorwaller,8,1,1,1,0,0,0,1,1,1,1,2,0.5,1,2,3,2,1,0,0,1,3
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
