Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,405,90,187,0.48128342245989303,9,49,0.1836734693877551,81,138,0.5869565217391305,54,65,0.8307692307692308,21,48,69,49,27,6,33,27,243
#3 Nani Falatea,151,14,37,0.3783783783783784,9,22,0.4090909090909091,5,15,0.3333333333333333,4,4,1,2,22,24,13,10,1,11,16,41
#4 Arielle MackeyWilliams,67,8,24,0.3333333333333333,2,10,0.2,6,14,0.42857142857142855,2,2,1,2,6,8,7,2,0,8,7,20
#5 Maria Albiero,369,26,60,0.43333333333333335,9,19,0.47368421052631576,17,41,0.4146341463414634,3,4,0.75,3,31,34,56,13,0,21,23,64
#10 Tegan Graham,394,52,119,0.4369747899159664,39,91,0.42857142857142855,13,28,0.4642857142857143,8,10,0.8,8,31,39,64,19,13,26,23,151
#11 Kaylee Smiler,116,8,20,0.4,6,14,0.42857142857142855,2,6,0.3333333333333333,2,2,1,2,11,13,6,2,0,2,10,24
#12 Lauren Gustin,344,61,115,0.5304347826086957,0,0,0,61,115,0.5304347826086957,16,30,0.5333333333333333,58,96,154,16,17,3,9,27,138
#13 Paisley Harding,389,74,172,0.43023255813953487,25,72,0.3472222222222222,49,100,0.49,32,38,0.8421052631578947,13,26,39,33,21,2,29,34,205
#20 Devry Millett,28,3,5,0.6,0,1,0,3,4,0.75,1,2,0.5,1,6,7,0,0,3,0,2,7
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,178,26,37,0.7027027027027027,0,1,0,26,36,0.7222222222222222,4,8,0.5,11,28,39,3,7,30,17,32,56
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,107,20,41,0.4878048780487805,6,15,0.4,14,26,0.5384615384615384,5,7,0.7142857142857143,12,14,26,5,1,10,14,23,51
#30 Kate Vorwaller,26,2,9,0.2222222222222222,1,3,0.3333333333333333,1,6,0.16666666666666666,1,2,0.5,4,4,8,3,1,0,2,2,6
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
