Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,684,158,308,0.512987012987013,18,76,0.23684210526315788,140,232,0.603448275862069,79,95,0.8315789473684211,37,82,119,101,54,7,53,41,413
#3 Nani Falatea,248,25,58,0.43103448275862066,17,36,0.4722222222222222,8,22,0.36363636363636365,4,6,0.6666666666666666,3,32,35,20,18,2,17,27,71
#4 Arielle MackeyWilliams,121,11,39,0.28205128205128205,4,19,0.21052631578947367,7,20,0.35,8,8,1,6,10,16,13,3,0,14,10,34
#5 Maria Albiero,602,41,107,0.38317757009345793,12,43,0.27906976744186046,29,64,0.453125,5,7,0.7142857142857143,6,46,52,84,31,1,29,36,99
#10 Tegan Graham,637,83,184,0.45108695652173914,56,135,0.4148148148148148,27,49,0.5510204081632653,16,20,0.8,13,49,62,105,31,15,42,40,238
#11 Kaylee Smiler,187,12,32,0.375,7,22,0.3181818181818182,5,10,0.5,2,4,0.5,3,17,20,12,5,2,5,14,33
#12 Lauren Gustin,594,111,203,0.5467980295566502,0,0,0,111,203,0.5467980295566502,23,45,0.5111111111111111,97,150,247,23,27,5,26,45,245
#13 Paisley Harding,658,135,291,0.4639175257731959,38,110,0.34545454545454546,97,181,0.5359116022099447,64,78,0.8205128205128205,19,48,67,51,33,3,45,50,372
#20 Devry Millett,47,5,11,0.45454545454545453,1,4,0.25,4,7,0.5714285714285714,1,2,0.5,2,7,9,1,2,3,2,3,12
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,319,46,65,0.7076923076923077,0,2,0,46,63,0.7301587301587301,7,13,0.5384615384615384,19,54,73,9,10,57,22,50,99
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,176,31,65,0.47692307692307695,6,24,0.25,25,41,0.6097560975609756,8,11,0.7272727272727273,17,27,44,11,3,15,20,30,76
#30 Kate Vorwaller,55,6,19,0.3157894736842105,1,5,0.2,5,14,0.35714285714285715,3,6,0.5,4,6,10,7,3,0,2,2,16
