Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,44,10,21,0.47619047619047616,0,5,0,10,16,0.625,4,7,0.5714285714285714,3,3,6,5,0,0,6,5,24
#3 Nani Falatea,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
#4 Arielle MackeyWilliams,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#5 Maria Albiero,45,4,9,0.4444444444444444,1,3,0.3333333333333333,3,6,0.5,0,0,0,1,4,5,6,5,0,1,0,9
#10 Tegan Graham,29,10,20,0.5,10,17,0.5882352941176471,0,3,0,0,0,0,1,3,4,3,0,0,0,0,30
#11 Kaylee Smiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#12 Lauren Gustin,43,5,13,0.38461538461538464,0,0,0,5,13,0.38461538461538464,3,5,0.6,8,13,21,4,4,0,2,3,13
#13 Paisley Harding,39,3,17,0.17647058823529413,1,6,0.16666666666666666,2,11,0.18181818181818182,0,0,0,0,0,0,5,1,0,6,1,7
#20 Devry Millett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,16,4,5,0.8,0,0,0,4,5,0.8,0,0,0,1,3,4,0,2,4,3,3,8
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#30 Kate Vorwaller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
